# B2  M_xy  beta  p  rho  v2
  2.059844e-02  -1.162043e-05   2.440404e+03   1.000060e+00   9.994975e-01   1.407006e-01
  1.925113e-02  -2.795923e-05   2.610116e+03   9.996461e-01   9.975217e-01   1.330677e-01
  2.035605e-02  -9.810853e-06   2.454287e+03   9.939145e-01   9.954489e-01   1.333143e-01
  2.039756e-02  -1.308517e-05   2.448088e+03   9.934257e-01   9.958913e-01   1.334273e-01
  2.020529e-02  -1.455022e-06   2.463808e+03   9.903802e-01   9.946165e-01   1.342871e-01
  2.027714e-02  -1.954097e-06   2.455249e+03   9.904495e-01   9.945595e-01   1.340352e-01
  2.001767e-02   7.575242e-06   2.486396e+03   9.901793e-01   9.939792e-01   1.337551e-01
  2.003050e-02   1.071487e-05   2.487558e+03   9.912772e-01   9.938972e-01   1.337021e-01
  1.915864e-02   3.528904e-05   2.605385e+03   9.930398e-01   9.945264e-01   1.391083e-01
  1.906301e-02  -3.043975e-06   2.617104e+03   9.925272e-01   9.935978e-01   1.361282e-01
  2.018153e-02   2.156187e-06   2.465706e+03   9.899778e-01   9.930616e-01   1.349401e-01
  2.014621e-02  -1.487222e-06   2.469625e+03   9.898162e-01   9.937912e-01   1.345256e-01
  1.996566e-02   9.380006e-07   2.493063e+03   9.902550e-01   9.942423e-01   1.341174e-01
  2.016825e-02  -3.352122e-07   2.469609e+03   9.908924e-01   9.948387e-01   1.334584e-01
  2.006051e-02  -8.505896e-07   2.487583e+03   9.927725e-01   9.957122e-01   1.339165e-01
  2.007979e-02  -5.985201e-06   2.489993e+03   9.946894e-01   9.961056e-01   1.336095e-01
  2.138042e-02  -2.727922e-05   2.348522e+03   9.989437e-01   9.997720e-01   1.432153e-01
  1.913907e-02   1.644031e-05   2.631849e+03   1.002102e+00   9.990491e-01   1.314699e-01
  2.039559e-02   7.359487e-06   2.452926e+03   9.952929e-01   9.963389e-01   1.334302e-01
  2.020938e-02   1.131721e-05   2.472550e+03   9.940957e-01   9.964406e-01   1.329139e-01
  2.011853e-02   3.982894e-06   2.472240e+03   9.895025e-01   9.941757e-01   1.341639e-01
  2.031048e-02   4.589290e-06   2.450972e+03   9.903501e-01   9.945793e-01   1.339747e-01
  2.030213e-02   2.432453e-06   2.452164e+03   9.904244e-01   9.942336e-01   1.343778e-01
  2.020890e-02  -6.965720e-07   2.465584e+03   9.912715e-01   9.940189e-01   1.344485e-01
  1.977727e-02  -1.418613e-06   2.524156e+03   9.931450e-01   9.947097e-01   1.370373e-01
  1.871830e-02   1.090414e-06   2.668801e+03   9.938314e-01   9.940048e-01   1.339363e-01
  2.021661e-02   2.414692e-06   2.465688e+03   9.916918e-01   9.940711e-01   1.338309e-01
  2.005447e-02   1.512570e-06   2.483827e+03   9.909751e-01   9.944291e-01   1.337232e-01
  2.001580e-02  -1.112120e-06   2.489578e+03   9.913542e-01   9.950195e-01   1.331333e-01
