# Spin Glass MC Results T=1.50
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
   238      -1.19827086       0.18750000       0.59375000       0.35253906
   239      -1.34869418       0.09375000       0.68750000       0.47265625
   240      -1.22193290       0.12500000       0.37500000       0.14062500
   241      -1.39954489       0.18750000       0.62500000       0.39062500
   242      -1.32926137       0.00000000       0.50000000       0.25000000
   243      -1.31587463       0.03125000       0.46875000       0.21972656
   244      -1.12996508       0.00000000       0.59375000       0.35253906
   245      -1.13679466       0.06250000       0.25000000       0.06250000
   246      -1.14568949       0.09375000       0.25000000       0.06250000
   247      -1.17114061       0.06250000       0.78125000       0.61035156
   248      -1.19575585       0.12500000       0.43750000       0.19140625
   249      -1.17762816       0.09375000       0.34375000       0.11816406
   250      -1.17109256       0.06250000       0.37500000       0.14062500
   251      -0.87416439       0.00000000       0.09375000       0.00878906
   252      -0.97933174       0.12500000       0.15625000       0.02441406
   253      -0.88156804       0.06250000       0.25000000       0.06250000
   254      -1.09200877       0.25000000      -0.12500000       0.01562500
   255      -1.02514393       0.06250000      -0.18750000       0.03515625
   256      -0.98260275       0.15625000       0.15625000       0.02441406
   257      -1.08584812       0.00000000      -0.12500000       0.01562500
   258      -1.02710774       0.21875000      -0.03125000       0.00097656
   259      -0.84434942       0.03125000      -0.09375000       0.00878906
   260      -1.01597952       0.00000000       0.21875000       0.04785156
   261      -1.07481840       0.03125000       0.00000000       0.00000000
   262      -1.18058840       0.03125000       0.12500000       0.01562500
   263      -0.97241005       0.06250000       0.18750000       0.03515625
   264      -1.12606926       0.06250000       0.09375000       0.00878906
   265      -1.03959576       0.00000000       0.21875000       0.04785156
   266      -1.18609194       0.03125000       0.18750000       0.03515625
   267      -1.14403522       0.21875000       0.12500000       0.01562500
   268      -1.15866593       0.03125000      -0.06250000       0.00390625
   269      -1.27460869       0.03125000       0.28125000       0.07910156
   270      -1.19746533       0.00000000      -0.03125000       0.00097656
   271      -1.10937921       0.00000000      -0.03125000       0.00097656
   272      -1.14122246       0.03125000       0.28125000       0.07910156
   273      -1.02210360       0.12500000       0.03125000       0.00097656
   274      -1.37090493       0.15625000       0.65625000       0.43066406
   275      -1.22989078       0.00000000       0.56250000       0.31640625
   276      -1.42341413       0.03125000       0.43750000       0.19140625
   277      -1.33368201       0.15625000       0.50000000       0.25000000
   278      -1.35680522       0.06250000       0.37500000       0.14062500
   279      -1.44536019       0.15625000       0.46875000       0.21972656
   280      -1.33420637       0.21875000       0.43750000       0.19140625
   281      -1.27135957       0.09375000       0.65625000       0.43066406
   282      -1.36475207       0.03125000       0.68750000       0.47265625
   283      -1.28387794       0.00000000       0.28125000       0.07910156
